contig_1	Prodigal	CDS	2	103	.	-	0	ID=KHMOAF_00005;Name=hypothetical protein;locus_tag=KHMOAF_00005;product=hypothetical protein
contig_1	Prodigal	CDS	112	669	.	-	0	ID=KHMOAF_00010;Name=hypothetical protein;locus_tag=KHMOAF_00010;product=hypothetical protein
contig_1	Prodigal	CDS	693	3749	.	-	0	ID=KHMOAF_00015;Name=hypothetical protein;locus_tag=KHMOAF_00015;product=hypothetical protein
contig_1	Prodigal	CDS	3746	4837	.	-	0	ID=KHMOAF_00020;Name=efflux RND transporter periplasmic adaptor subunit;locus_tag=KHMOAF_00020;product=efflux RND transporter periplasmic adaptor subunit;Dbxref=SO:0001217,UniRef:UniRef50_UPI00048F9EFB
contig_1	Prodigal	CDS	4834	6288	.	-	0	ID=KHMOAF_00025;Name=Outer membrane efflux protein;locus_tag=KHMOAF_00025;product=Outer membrane efflux protein;Dbxref=SO:0001217,UniRef:UniRef50_Q606S8
contig_1	Prodigal	CDS	6321	6656	.	-	0	ID=KHMOAF_00030;Name=hypothetical protein;locus_tag=KHMOAF_00030;product=hypothetical protein;Dbxref=PFAM:PF03413.22
contig_1	Prodigal	CDS	6850	7155	.	-	0	ID=KHMOAF_00035;Name=DUF4010 domain-containing protein;locus_tag=KHMOAF_00035;product=DUF4010 domain-containing protein;Dbxref=SO:0001217,UniRef:UniRef50_A0A1Q3VWZ8
contig_1	Prodigal	CDS	7261	8721	.	-	0	ID=KHMOAF_00040;Name=Periplasmic serine endoprotease DegP-like;locus_tag=KHMOAF_00040;product=Periplasmic serine endoprotease DegP-like;Dbxref=SO:0001217,UniRef:UniRef50_A0A0U3L7Y5
contig_1	Prodigal	CDS	9120	10229	.	+	0	ID=KHMOAF_00045;Name=Divalent metal cation transporter MntH;locus_tag=KHMOAF_00045;product=Divalent metal cation transporter MntH;Dbxref=SO:0001217,UniRef:UniRef50_A0A7V8G863;gene=mntH
contig_1	Prodigal	CDS	10461	11771	.	-	0	ID=KHMOAF_00050;Name=histidine kinase;locus_tag=KHMOAF_00050;product=histidine kinase;Dbxref=SO:0001217,UniRef:UniRef50_H0Q228
contig_1	Prodigal	CDS	11768	12430	.	-	0	ID=KHMOAF_00055;Name=Response regulator protein PmrA;locus_tag=KHMOAF_00055;product=Response regulator protein PmrA;Dbxref=SO:0001217,UniRef:UniRef50_Q9HV32;gene=pmrA
contig_1	Prodigal	CDS	12678	13268	.	-	0	ID=KHMOAF_00060;Name=hypothetical protein;locus_tag=KHMOAF_00060;product=hypothetical protein
